trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 1, 'e': 0.9999872957652524}",20,0,-44.011212179449664,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
44,False,"{'a': 1, 'e': 0.9999858841836138}",30,0,-171.28382833956414,"{0: 19, 1: 5, 2: 1, 3: 2, 4: 3}",0
45,False,"{'a': 1, 'e': 0.9999843157595709}",20,0,-59.67550167715634,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
46,False,"{'a': 1, 'e': 0.9999825730661899}",30,0,-252.25547059129644,"{0: 14, 1: 5, 2: 6, 3: 1, 4: 4}",0
47,False,"{'a': 1, 'e': 0.999980636740211}",25,0,-123.69124931811004,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
48,False,"{'a': 1, 'e': 0.999978485266901}",20,0,-137.12456752496763,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
49,False,"{'a': 1, 'e': 0.9999760947410011}",25,0,-119.77410912557644,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
50,False,"{'a': 1, 'e': 0.9999734386011124}",20,0,-99.19168296720186,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
51,False,"{'a': 1, 'e': 0.9999704873345694}",25,0,-218.65734858540844,"{0: 10, 1: 2, 2: 10, 3: 0, 4: 3}",0
52,False,"{'a': 1, 'e': 0.9999672081495214}",25,0,-74.15499510109358,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
53,False,"{'a': 1, 'e': 0.9999635646105794}",20,0,-114.52781779174119,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
54,False,"{'a': 1, 'e': 0.9999595162339772}",30,0,-239.50812478187655,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 5}",0
55,False,"{'a': 1, 'e': 0.9999550180377524}",20,0,-187.1814209435001,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
56,False,"{'a': 1, 'e': 0.9999500200419471}",30,0,-89.52467793546242,"{0: 23, 1: 4, 2: 1, 3: 0, 4: 2}",0
57,False,"{'a': 1, 'e': 0.9999444667132745}",25,0,-115.54653891157123,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
58,False,"{'a': 1, 'e': 0.9999382963480828}",25,7,-120.95840380066241,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 2}",1
59,False,"{'a': 1, 'e': 0.9999314403867587}",25,0,-117.90777657439965,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
60,False,"{'a': 1, 'e': 0.9999238226519541}",25,7,-27.297739924848262,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
61,False,"{'a': 1, 'e': 0.9999153585021713}",20,14,11.300220689179234,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 1, 'e': 0.9999059538913014}",20,0,-138.33054864397153,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
63,False,"{'a': 1, 'e': 0.9998955043236682}",25,3,-191.133804105399,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 3}",1
64,False,"{'a': 1, 'e': 0.9998838936929647}",20,0,-57.35633201994004,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
65,False,"{'a': 1, 'e': 0.999870992992183}",30,0,-168.64017569619867,"{0: 16, 1: 2, 2: 10, 3: 0, 4: 2}",0
66,False,"{'a': 1, 'e': 0.9998566588802034}",30,0,-137.395673300238,"{0: 14, 1: 4, 2: 10, 3: 2, 4: 0}",0
67,False,"{'a': 1, 'e': 0.9998407320891148}",20,0,-51.901292508992,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 1, 'e': 0.999823035654572}",30,0,-149.41009569035174,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",0
69,False,"{'a': 1, 'e': 0.9998033729495245}",35,0,-292.49762198574894,"{0: 16, 1: 1, 2: 13, 3: 1, 4: 4}",0
70,False,"{'a': 1, 'e': 0.9997815254994716}",30,0,-185.4333821665537,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
71,False,"{'a': 1, 'e': 0.9997572505549684}",20,0,-130.30701825863872,"{0: 8, 1: 2, 2: 7, 3: 3, 4: 0}",0
72,False,"{'a': 1, 'e': 0.9997302783944094}",25,0,-110.22260209043007,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
73,False,"{'a': 1, 'e': 0.9997003093271215}",30,0,-161.05716279940987,"{0: 17, 1: 3, 2: 6, 3: 3, 4: 1}",0
74,False,"{'a': 1, 'e': 0.9996670103634684}",25,0,-171.56659447892002,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 3}",0
75,False,"{'a': 1, 'e': 0.9996300115149649}",20,0,-200.43133344833916,"{0: 4, 1: 2, 2: 10, 3: 3, 4: 1}",0
76,False,"{'a': 1, 'e': 0.9995889016832943}",20,0,-149.3121083329037,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
77,False,"{'a': 1, 'e': 0.9995432240925493}",20,0,-52.41139077548574,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 1, 'e': 0.9994924712139436}",25,0,-101.51342437968933,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
79,False,"{'a': 1, 'e': 0.9994360791266039}",25,0,-170.34025451826977,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 2}",0
80,False,"{'a': 1, 'e': 0.9993734212517822}",20,0,-72.40724317498406,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
81,False,"{'a': 1, 'e': 0.9993038013908692}",20,0,-146.31572417184046,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
82,False,"{'a': 1, 'e': 0.9992264459898546}",20,0,-51.289115565142396,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
83,False,"{'a': 1, 'e': 0.9991404955442829}",25,0,-151.4045710777608,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
84,False,"{'a': 1, 'e': 0.9990449950492032}",20,0,-53.558117089567666,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
85,False,"{'a': 1, 'e': 0.9989388833880035}",25,0,-194.93373628530045,"{0: 13, 1: 4, 2: 3, 3: 2, 4: 3}",0
86,False,"{'a': 1, 'e': 0.9988209815422261}",20,0,-74.85695041175082,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
87,False,"{'a': 1, 'e': 0.9986899794913624}",20,0,-109.13126563216515,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
88,False,"{'a': 1, 'e': 0.9985444216570694}",20,0,-81.98367422613222,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
89,False,"{'a': 1, 'e': 0.998382690730077}",25,0,-206.51575848498948,"{0: 11, 1: 1, 2: 9, 3: 2, 4: 2}",0
90,False,"{'a': 1, 'e': 0.9982029897000856}",20,0,-109.0234876009975,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
91,False,"{'a': 1, 'e': 0.998003321888984}",20,0,-101.45403485166405,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
92,False,"{'a': 1, 'e': 0.9977814687655377}",20,4,-66.74952771402266,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 2}",1
93,False,"{'a': 1, 'e': 0.9975349652950419}",20,0,-87.38367816018298,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
94,False,"{'a': 1, 'e': 0.9972610725500466}",35,0,-155.52410843610903,"{0: 20, 1: 1, 2: 13, 3: 0, 4: 1}",0
95,False,"{'a': 1, 'e': 0.9969567472778296}",20,0,-144.73099719098238,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
96,False,"{'a': 1, 'e': 0.9966186080864773}",25,0,-16.240848421151416,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
97,False,"{'a': 1, 'e': 0.9962428978738637}",30,0,-105.67360128517433,"{0: 17, 1: 3, 2: 9, 3: 1, 4: 0}",0
98,False,"{'a': 1, 'e': 0.9958254420820707}",20,0,-95.34515177173057,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
99,False,"{'a': 1, 'e': 0.9953616023134119}",30,4,-144.72944305478447,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 3}",1
100,False,"{'a': 1, 'e': 0.9948462247926799}",20,0,-118.48006276114317,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
101,False,"{'a': 1, 'e': 0.9942735831029776}",30,0,-113.35663264973314,"{0: 20, 1: 5, 2: 3, 3: 0, 4: 2}",0
102,False,"{'a': 1, 'e': 0.9936373145588641}",30,0,-97.08447850241122,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
103,False,"{'a': 1, 'e': 0.9929303495098489}",20,0,-192.96018223055668,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
104,False,"{'a': 1, 'e': 0.992144832788721}",20,0,-89.73677475568063,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
105,False,"{'a': 1, 'e': 0.9912720364319123}",25,0,-47.83840849753882,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
106,False,"{'a': 1, 'e': 0.9903022627021247}",25,0,-155.42735838244607,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
107,False,"{'a': 1, 'e': 0.9892247363356942}",25,0,-123.24766869583608,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
108,False,"{'a': 1, 'e': 0.988027484817438}",25,0,-220.45828478166717,"{0: 10, 1: 4, 2: 5, 3: 4, 4: 2}",0
109,False,"{'a': 1, 'e': 0.9866972053527089}",30,0,-129.17969853180796,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
110,False,"{'a': 1, 'e': 0.9852191170585654}",20,0,-91.77874676207557,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
111,False,"{'a': 1, 'e': 0.9835767967317394}",20,8,-45.57981973899376,"{0: 6, 1: 1, 2: 5, 3: 0, 4: 0}",1
112,False,"{'a': 1, 'e': 0.9817519963685992}",25,0,-98.068761988232,"{0: 12, 1: 7, 2: 5, 3: 1, 4: 0}",0
113,False,"{'a': 1, 'e': 0.9797244404095548}",20,0,-116.48100193837152,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
114,False,"{'a': 1, 'e': 0.9774716004550608}",20,0,-66.98611597493363,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
115,False,"{'a': 1, 'e': 0.9749684449500675}",20,0,-29.695849130667487,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
116,False,"{'a': 1, 'e': 0.9721871610556306}",20,0,-38.00646038596334,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
117,False,"{'a': 1, 'e': 0.9690968456173674}",20,0,-78.98416358987087,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
118,False,"{'a': 1, 'e': 0.9656631617970749}",20,0,-127.96907718718242,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
119,False,"{'a': 1, 'e': 0.9618479575523053}",20,0,-66.53321114290678,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
120,False,"{'a': 1, 'e': 0.9576088417247838}",20,0,-94.29632954847843,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
121,False,"{'a': 1, 'e': 0.9528987130275375}",25,0,-72.82383791116648,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
122,False,"{'a': 1, 'e': 0.9476652366972639}",25,10,-61.863313918859625,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 1}",1
123,False,"{'a': 1, 'e': 0.94185026299696}",25,0,-83.6845738946008,"{0: 16, 1: 3, 2: 3, 3: 3, 4: 0}",0
124,False,"{'a': 1, 'e': 0.9353891811077333}",30,12,-131.31175346962846,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 2}",1
125,False,"{'a': 1, 'e': 0.9282102012308147}",25,0,-198.6197043639235,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
126,False,"{'a': 1, 'e': 0.9202335569231275}",25,0,-72.02561002988611,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
127,False,"{'a': 1, 'e': 0.9113706188034749}",30,0,-171.66488053419604,"{0: 15, 1: 2, 2: 8, 3: 5, 4: 0}",0
128,False,"{'a': 1, 'e': 0.9015229097816388}",20,0,-161.80607919971757,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
129,False,"{'a': 1, 'e': 0.8905810108684876}",25,0,-17.859662705427347,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
130,False,"{'a': 1, 'e': 0.8784233454094307}",20,0,-66.96635585755422,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
131,False,"{'a': 1, 'e': 0.8649148282327007}",25,14,-76.09378754515018,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
132,False,"{'a': 1, 'e': 0.8499053647030008}",30,0,-129.64585325207798,"{0: 22, 1: 1, 2: 3, 3: 2, 4: 2}",0
133,False,"{'a': 1, 'e': 0.8332281830033342}",25,0,-123.97311956903091,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
134,False,"{'a': 1, 'e': 0.8146979811148158}",20,0,-87.1427364050358,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
135,False,"{'a': 1, 'e': 0.794108867905351}",20,0,-81.11755043487219,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
136,False,"{'a': 1, 'e': 0.7712320754503899}",20,1,-25.151373276044275,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
137,False,"{'a': 1, 'e': 0.7458134171670999}",25,0,-106.80995953706481,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
138,False,"{'a': 1, 'e': 0.7175704635189999}",30,0,-43.10530801018935,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
139,False,"{'a': 1, 'e': 0.6861894039099999}",30,9,-92.5305060488897,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 1}",1
140,False,"{'a': 1, 'e': 0.6513215599}",25,11,-32.13949425124344,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 0}",1
141,False,"{'a': 1, 'e': 0.6125795109999999}",20,16,8.348681136731381,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 1, 'e': 0.5695327899999999}",30,24,8.66668715224165,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 1, 'e': 0.5217030999999999}",25,0,-84.67881471706957,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
144,False,"{'a': 1, 'e': 0.46855899999999995}",20,0,-138.89267204491927,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
145,False,"{'a': 1, 'e': 0.40950999999999993}",25,13,-110.59793587376154,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 3}",1
146,False,"{'a': 1, 'e': 0.3439}",20,9,-16.865504826370756,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
147,False,"{'a': 1, 'e': 0.2709999999999999}",20,0,9.524518615881199,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
148,False,"{'a': 1, 'e': 0.18999999999999995}",25,20,8.558143460702638,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 1, 'e': 0.09999999999999998}",25,8,33.91645689582565,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 1, 'e': 0.0}",20,2,25.619189358499376,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,12,24.803802241010974,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,22,19.52766759536894,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,6,29.675414628122446,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,5,38.08213985847338,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,14,12.091299881115358,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,11,24.204420448990938,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,5,27.071026938197498,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,12,16.29039820783145,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,17,21.84653006811581,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,11,24.095561851740662,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
